Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/9/11 (Monday) 12:58:48,599,119,9,LED ON,255,0.0,1,1361,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,1,0
2023/9/11 (Monday) 12:58:49,599,119,9,LED ON,255,0.0,2,2427,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,7,0
2023/9/11 (Monday) 12:58:50,599,119,9,LED ON,255,0.0,3,3493,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,7,0
2023/9/11 (Monday) 12:58:51,599,119,9,LED ON,255,0.0,4,4561,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,8,0
2023/9/11 (Monday) 12:58:52,599,119,9,LED ON,255,0.0,5,5627,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,7,0
2023/9/11 (Monday) 12:58:53,599,119,9,LED ON,255,0.0,6,6694,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,1,8,0
2023/9/11 (Monday) 12:58:54,599,119,9,LED ON,255,0.0,7,7760,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,3,8,0
2023/9/11 (Monday) 12:58:55,599,119,9,LED ON,255,0.0,8,8829,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,1,8,0
2023/9/11 (Monday) 12:58:57,599,119,9,LED ON,255,0.0,9,9895,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,2,8,0
2023/9/11 (Monday) 12:58:58,599,119,9,LED ON,255,0.0,10,10961,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,2,7,0
2023/9/11 (Monday) 12:58:59,599,119,9,LED ON,255,0.0,12,12030,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,1,8,0
2023/9/11 (Monday) 12:59:0,599,119,9,LED ON,255,0.0,13,13096,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,2,8,0
2023/9/11 (Monday) 12:59:1,599,119,9,LED ON,255,0.0,14,14161,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,7,0
2023/9/11 (Monday) 12:59:2,599,119,9,LED ON,255,0.0,15,15230,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,1,8,0
2023/9/11 (Monday) 12:59:3,599,119,9,LED ON,255,0.0,16,16296,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,1,8,0
2023/9/11 (Monday) 12:59:4,599,119,9,LED ON,255,0.0,17,17363,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,1,8,0
2023/9/11 (Monday) 12:59:5,599,119,9,LED ON,255,0.0,18,18434,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,7,0
2023/9/11 (Monday) 12:59:6,599,119,9,LED ON,255,0.0,19,19501,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,7,0
2023/9/11 (Monday) 12:59:7,599,119,9,LED ON,255,0.0,20,20567,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,8,0
2023/9/11 (Monday) 12:59:8,599,119,9,LED ON,255,0.0,21,21633,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,3,7,0
2023/9/11 (Monday) 12:59:9,599,119,9,LED ON,255,0.0,22,22702,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,1,7,0
2023/9/11 (Monday) 12:59:10,599,119,9,LED ON,255,0.0,23,23768,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,1,8,0
2023/9/11 (Monday) 12:59:11,599,119,9,LED ON,255,0.0,24,24833,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,2,8,0
2023/9/11 (Monday) 12:59:13,599,119,9,LED ON,255,0.0,25,25903,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,2,7,0
2023/9/11 (Monday) 12:59:14,599,119,9,LED ON,255,0.0,26,26968,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,8,0
2023/9/11 (Monday) 12:59:15,599,119,9,LED ON,255,0.0,28,28073,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,2,7,0
2023/9/11 (Monday) 12:59:16,599,119,9,LED ON,255,0.0,29,29142,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,3,8,0
2023/9/11 (Monday) 12:59:17,599,119,9,LED ON,255,0.0,30,30208,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,4,2,7,0
2023/9/11 (Monday) 12:59:18,599,119,9,LED ON,255,0.0,31,31275,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,2,8,0
2023/9/11 (Monday) 12:59:19,599,119,9,LED ON,255,0.0,32,32341,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,3,1,8,0
