Date and Time,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/8/7 (Monday) 11:  :52,LED ON,255,Cuvette Light,6,6942,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,31,68,3
2023/8/7 (Monday) 11:  :53,LED ON,255,Cuvette Light,7,7604,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,19,37,31,68,6
2023/8/7 (Monday) 11:  :53,LED ON,255,Cuvette Light,8,8270,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,21,38,31,68,6
2023/8/7 (Monday) 11:  :54,LED ON,255,Cuvette Light,8,8935,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 11:  :55,LED ON,255,Cuvette Light,9,9  4,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,67,6
2023/8/7 (Monday) 11:  :55,LED ON,255,Cuvette Light,10,10257,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,37,31,68,3
2023/8/7 (Monday) 11:  :56,LED ON,255,Cuvette Light,10,10920,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,38,31,68,3
2023/8/7 (Monday) 11:  :57,LED ON,255,Cuvette Light,11,11582,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 11:  :57,LED ON,255,Cuvette Light,12,12246,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,3,19,37,31,68,6
2023/8/7 (Monday) 11:  :58,LED ON,255,Cuvette Light,12,12909,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,67,3
2023/8/7 (Monday) 11:  :  ,LED ON,255,Cuvette Light,13,13571,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,67,3
2023/8/7 (Monday) 11:  :  ,LED ON,255,Cuvette Light,14,14236,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,31,69,6
2023/8/7 (Monday) 12:0:0,LED ON,255,Cuvette Light,14,14896,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:1,LED ON,255,Cuvette Light,15,15561,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,19,38,30,68,6
2023/8/7 (Monday) 12:0:1,LED ON,255,Cuvette Light,16,16220,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,38,31,69,3
2023/8/7 (Monday) 12:0:2,LED ON,255,Cuvette Light,16,16884,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:3,LED ON,255,Cuvette Light,17,17551,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,38,31,68,3
2023/8/7 (Monday) 12:0:3,LED ON,255,Cuvette Light,18,18214,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,31,68,3
2023/8/7 (Monday) 12:0:4,LED ON,255,Cuvette Light,18,18876,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,37,31,68,6
2023/8/7 (Monday) 12:0:5,LED ON,255,Cuvette Light,19,19537,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,31,67,3
2023/8/7 (Monday) 12:0:5,LED ON,255,Cuvette Light,20,20205,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,31,68,3
2023/8/7 (Monday) 12:0:6,LED ON,255,Cuvette Light,20,20866,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,38,31,68,3
2023/8/7 (Monday) 12:0:7,LED ON,255,Cuvette Light,21,21527,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,69,6
2023/8/7 (Monday) 12:0:7,LED ON,255,Cuvette Light,22,22190,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,31,68,6
2023/8/7 (Monday) 12:0:8,LED ON,255,Cuvette Light,22,22853,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,31,68,3
2023/8/7 (Monday) 12:0:9,LED ON,255,Cuvette Light,23,23516,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:9,LED ON,255,Cuvette Light,24,24179,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,31,68,3
2023/8/7 (Monday) 12:0:10,LED ON,255,Cuvette Light,24,24844,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:11,LED ON,255,Cuvette Light,25,25508,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,31,68,6
2023/8/7 (Monday) 12:0:11,LED ON,255,Cuvette Light,26,26169,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:12,LED ON,255,Cuvette Light,26,26830,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,31,68,6
2023/8/7 (Monday) 12:0:13,LED ON,255,Cuvette Light,27,27496,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,30,68,3
2023/8/7 (Monday) 12:0:13,LED ON,255,Cuvette Light,28,28160,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:14,LED ON,255,Cuvette Light,28,28823,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:15,LED ON,255,Cuvette Light,29,29485,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,37,31,68,3
2023/8/7 (Monday) 12:0:15,LED ON,255,Cuvette Light,30,30146,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,37,31,68,6
2023/8/7 (Monday) 12:0:16,LED ON,255,Cuvette Light,30,30810,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:17,LED ON,255,Cuvette Light,31,31475,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,1,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:17,LED ON,255,Cuvette Light,32,32135,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,31,68,6
2023/8/7 (Monday) 12:0:18,LED ON,255,Cuvette Light,32,32799,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:19,LED ON,255,Cuvette Light,33,33462,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,37,31,68,6
2023/8/7 (Monday) 12:0:19,LED ON,255,Cuvette Light,34,34126,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,3,20,37,31,68,6
2023/8/7 (Monday) 12:0:20,LED ON,255,Cuvette Light,34,34792,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:21,LED ON,255,Cuvette Light,35,35453,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,30,68,6
2023/8/7 (Monday) 12:0:21,LED ON,255,Cuvette Light,36,36117,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:22,LED ON,255,Cuvette Light,36,36782,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,37,31,68,3
2023/8/7 (Monday) 12:0:23,LED ON,255,Cuvette Light,37,37441,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,37,31,68,3
2023/8/7 (Monday) 12:0:23,LED ON,255,Cuvette Light,38,38101,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:24,LED ON,255,Cuvette Light,38,38766,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,37,31,68,3
2023/8/7 (Monday) 12:0:25,LED ON,255,Cuvette Light,39,39430,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,21,37,30,68,3
2023/8/7 (Monday) 12:0:25,LED ON,255,Cuvette Light,40,40090,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:26,LED ON,255,Cuvette Light,40,40754,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:27,LED ON,255,Cuvette Light,41,41418,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,21,37,31,68,3
2023/8/7 (Monday) 12:0:27,LED ON,255,Cuvette Light,42,42082,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,20,36,31,67,6
2023/8/7 (Monday) 12:0:28,LED ON,255,Cuvette Light,42,42747,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:29,LED ON,255,Cuvette Light,43,43412,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,5
2023/8/7 (Monday) 12:0:29,LED ON,255,Cuvette Light,44,44077,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,31,68,3
2023/8/7 (Monday) 12:0:30,LED ON,255,Cuvette Light,44,44738,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,31,67,3
2023/8/7 (Monday) 12:0:31,LED ON,255,Cuvette Light,45,45400,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,31,68,6
2023/8/7 (Monday) 12:0:31,LED ON,255,Cuvette Light,46,46063,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,30,68,6
2023/8/7 (Monday) 12:0:32,LED ON,255,Cuvette Light,46,46726,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,67,3
2023/8/7 (Monday) 12:0:33,LED ON,255,Cuvette Light,47,47394,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:33,LED ON,255,Cuvette Light,48,48054,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,30,68,6
2023/8/7 (Monday) 12:0:34,LED ON,255,Cuvette Light,48,48715,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,3,19,37,31,68,3
2023/8/7 (Monday) 12:0:34,LED ON,255,Cuvette Light,49,49376,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,30,67,3
2023/8/7 (Monday) 12:0:35,LED ON,255,Cuvette Light,50,50039,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,30,68,6
2023/8/7 (Monday) 12:0:36,LED ON,255,Cuvette Light,50,50702,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:36,LED ON,255,Cuvette Light,51,51364,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:37,LED ON,255,Cuvette Light,52,52028,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,67,3
2023/8/7 (Monday) 12:0:38,LED ON,255,Cuvette Light,52,52694,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:38,LED ON,255,Cuvette Light,53,53355,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,21,37,31,68,6
2023/8/7 (Monday) 12:0:39,LED ON,255,Cuvette Light,54,54016,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,1,0,0,0,1,20,36,30,67,6
2023/8/7 (Monday) 12:0:40,LED ON,255,Cuvette Light,54,54676,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,1,0,0,0,2,20,37,31,67,3
2023/8/7 (Monday) 12:0:40,LED ON,255,Cuvette Light,55,55340,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:41,LED ON,255,Cuvette Light,56,56003,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,67,6
2023/8/7 (Monday) 12:0:42,LED ON,255,Cuvette Light,56,56668,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,6
2023/8/7 (Monday) 12:0:42,LED ON,255,Cuvette Light,57,57331,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,31,68,6
2023/8/7 (Monday) 12:0:43,LED ON,255,Cuvette Light,57,57993,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,30,68,3
2023/8/7 (Monday) 12:0:44,LED ON,255,Cuvette Light,58,58657,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,68,3
2023/8/7 (Monday) 12:0:44,LED ON,255,Cuvette Light,  ,317,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,21,37,31,67,3
2023/8/7 (Monday) 12:0:45,LED ON,255,Cuvette Light,  ,77,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,1,0,0,0,1,20,37,31,67,6
2023/8/7 (Monday) 12:0:46,LED ON,255,Cuvette Light,60,60641,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,21,37,31,68,6
2023/8/7 (Monday) 12:0:46,LED ON,255,Cuvette Light,61,61303,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,36,31,67,3
2023/8/7 (Monday) 12:0:47,LED ON,255,Cuvette Light,61,61966,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,19,37,30,67,6
2023/8/7 (Monday) 12:0:48,LED ON,255,Cuvette Light,62,62631,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,2,20,37,31,67,6
Date and Time,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/8/7 (Monday) 12:1:50,LED OFF,0,DI Water Dark,0,977,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:51,LED OFF,0,DI Water Dark,1,1639,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,3
2023/8/7 (Monday) 12:1:52,LED OFF,0,DI Water Dark,2,2304,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:52,LED OFF,0,DI Water Dark,2,2966,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:53,LED OFF,0,DI Water Dark,3,3633,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:54,LED OFF,0,DI Water Dark,4,4296,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:54,LED OFF,0,DI Water Dark,4,4957,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:55,LED OFF,0,DI Water Dark,5,5622,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:56,LED OFF,0,DI Water Dark,6,6283,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:56,LED OFF,0,DI Water Dark,6,6945,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:57,LED OFF,0,DI Water Dark,7,7606,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:58,LED OFF,0,DI Water Dark,8,8272,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:58,LED OFF,0,DI Water Dark,8,8934,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:1:  ,LED OFF,0,DI Water Dark,9,9  6,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:0,LED OFF,0,DI Water Dark,10,10261,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:0,LED OFF,0,DI Water Dark,10,10920,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:1,LED OFF,0,DI Water Dark,11,11581,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:2,LED OFF,0,DI Water Dark,12,12244,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:2,LED OFF,0,DI Water Dark,12,12906,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:3,LED OFF,0,DI Water Dark,13,13568,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:4,LED OFF,0,DI Water Dark,14,14230,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:4,LED OFF,0,DI Water Dark,14,14892,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:5,LED OFF,0,DI Water Dark,15,15555,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:6,LED OFF,0,DI Water Dark,16,16219,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:6,LED OFF,0,DI Water Dark,16,16876,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:7,LED OFF,0,DI Water Dark,17,17541,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:8,LED OFF,0,DI Water Dark,18,18205,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:8,LED OFF,0,DI Water Dark,18,18866,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:9,LED OFF,0,DI Water Dark,19,19528,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 12:2:10,LED OFF,0,DI Water Dark,20,20189,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
